[Target] model weights  updated...
[Target] model weights  updated...
[Target] model weights  updated...


1387it [00:07, 122.85it/s]



1945it [00:13, 92.48it/s]




2457it [00:21, 94.24it/s]




2953it [00:29, 96.41it/s]




3433it [00:37, 89.68it/s]



3945it [00:43, 93.58it/s]




4425it [00:52, 84.23it/s]



4937it [00:58, 94.54it/s]




5449it [01:06, 94.69it/s]



5993it [01:12, 99.33it/s]


6249it [01:17, 93.08it/s]



6825it [01:23, 101.73it/s]



7369it [01:30, 95.62it/s]



7897it [01:36, 93.64it/s]




8377it [01:44, 85.73it/s]



8857it [01:50, 91.60it/s]



9369it [01:56, 91.28it/s]




9897it [02:04, 97.38it/s]



10441it [02:10, 95.51it/s]




10969it [02:18, 91.91it/s]




11449it [02:26, 89.07it/s]



11913it [02:32, 90.46it/s]



12425it [02:38, 92.85it/s]




12937it [02:46, 86.86it/s]




13417it [02:54, 88.08it/s]



13929it [03:00, 90.92it/s]



14457it [03:06, 88.19it/s]




14985it [03:14, 89.75it/s]



15497it [03:20, 93.04it/s]


15833it [03:26, 96.10it/s]



16377it [03:32, 94.17it/s]



16857it [03:38, 97.07it/s]



17417it [03:44, 98.91it/s]




17961it [03:52, 93.31it/s]


18281it [03:56, 94.25it/s]



18809it [04:02, 94.50it/s]



19289it [04:10, 94.43it/s]



19817it [04:16, 92.57it/s]



20345it [04:22, 96.00it/s]



20889it [04:28, 98.43it/s]



21449it [04:34, 99.32it/s]



21993it [04:40, 102.04it/s]


22377it [04:44, 100.98it/s]



22937it [04:50, 101.31it/s]



23449it [04:56, 102.70it/s]


23801it [05:00, 100.36it/s]



24361it [05:06, 100.52it/s]




24937it [05:14, 103.72it/s]


25289it [05:18, 100.04it/s]



25833it [05:24, 96.02it/s]




26361it [05:32, 94.97it/s]



26873it [05:38, 93.14it/s]




27337it [05:46, 84.69it/s]




27993it [05:57, 80.68it/s]



28473it [06:05, 89.37it/s]



28937it [06:10, 93.34it/s]




29449it [06:18, 95.60it/s]



29977it [06:24, 93.70it/s]



30473it [06:30, 91.63it/s]




30969it [06:38, 88.74it/s]



31321it [06:44, 93.32it/s]



31865it [06:53, 96.38it/s]



32345it [07:01, 94.54it/s]



32857it [07:07, 91.64it/s]



33321it [07:14, 98.21it/s]



33833it [07:20, 91.66it/s]



34345it [07:26, 88.78it/s]



34841it [07:32, 91.21it/s]



35337it [07:38, 91.89it/s]




35897it [07:46, 98.68it/s]



36393it [07:52, 90.30it/s]



36889it [07:59, 96.70it/s]



37433it [08:05, 96.72it/s]



37977it [08:11, 98.33it/s]


38345it [08:15, 97.71it/s]



38905it [08:21, 99.11it/s]



39449it [08:27, 101.16it/s]



39753it [08:32, 89.17it/s]




